"","original.DOI","recent.DOI"
"286","doi:10.18739/A27M0J","doi:10.18739/A27M0J"
"287","doi:10.18739/A27P4R","doi:10.18739/A20R9M43V"
"288","doi:10.18739/A27Q0K","doi:10.18739/A2CF9J68N"
"289","doi:10.18739/A27Q1Z","doi:10.18739/A27Q1Z"
"290","doi:10.18739/A27Q2B","doi:10.18739/A20R9M49R"
"291","doi:10.18739/A27S4S","doi:10.18739/A27S4S"
"292","doi:10.18739/A27S6J","doi:10.18739/A2NC5SC9J"
"293","doi:10.18739/A27S7X","doi:10.18739/A2VT1GQ56"
"294","doi:10.18739/A27S89","doi:10.18739/A2XG9FB52"
"295","doi:10.18739/A27S9P","doi:10.18739/A2VM42X8F"
"296","doi:10.18739/A27W22","doi:10.18739/A27W22"
"297","doi:10.18739/A27W56","doi:10.18739/A2FJ29D2J"
"298","doi:10.18739/A27W8B","doi:10.18739/A2NV9994S"
"299","doi:10.18739/A28045","doi:10.18739/A2XK84Q6D"
"300","doi:10.18739/A2806X","doi:10.18739/A26W9690X"
"301","doi:10.18739/A2808P","doi:10.18739/A2057CS69"
"302","doi:10.18739/A2830P","doi:10.18739/A2830P"
"303","doi:10.18739/A28346","doi:10.18739/A2154DP71"
"304","doi:10.18739/A2835K","doi:10.18739/A2JD4PP7D"
"305","doi:10.18739/A2836Z","doi:10.18739/A2Q23R102"
"306","doi:10.18739/A28647","doi:10.18739/A2J96098D"
"307","doi:10.18739/A2865M","urn:uuid:c8b131c5-7d6d-44d8-bab0-786c3220fe29"
"308","doi:10.18739/A28660","doi:10.18739/A29882N3J"
"309","doi:10.18739/A2888F","doi:10.18739/A2888F"
"310","doi:10.18739/A28914","doi:10.18739/A28914"
"311","doi:10.18739/A2892H","doi:10.18739/A21C1TG1B"
"312","doi:10.18739/A2892H.","Error in get_all_versions(adc, dataframe_DOIs$original.DOI[i]) : 
  trying to get slot ""obsoletes"" from an object of a basic class (""NULL"") with no slots
"
"313","doi:10.18739/A2893W","doi:10.18739/A2WT0H"
"314","doi:10.18739/A28948","doi:10.18739/A2P55DH15"
"315","doi:10.18739/A28C8G","doi:10.18739/A28C8G"
"316","doi:10.18739/A28D3X","doi:10.18739/A28D3X"
"317","doi:10.18739/A28D49","doi:10.18739/A28D49"
"318","doi:10.18739/A28G9W","doi:10.18739/A2HD7NT5N"
"319","doi:10.18739/A28H2K","doi:10.18739/A28H2K"
"320","doi:10.18739/A28K75","doi:10.18739/A28K75"
"321","doi:10.18739/A28K8J","doi:10.18739/A28K8J"
"322","doi:10.18739/A28K9X","doi:10.18739/A28K9X"
"323","doi:10.18739/A28M17","doi:10.18739/A2MT01"
"324","doi:10.18739/A28P42","doi:10.18739/A2KD1QK84"
"325","doi:10.18739/A28P6T","doi:10.18739/A2NK3656P"
"326","doi:10.18739/A28Q0W","doi:10.18739/A28Q0W"
"327","doi:10.18739/A28Q18","doi:10.18739/A2PR7MV08"
"328","doi:10.18739/A28S3Q","doi:10.18739/A28S3Q"
"329","doi:10.18739/A28S8M","doi:10.18739/A27940V1N"
"330","doi:10.18739/A28W44","doi:10.18739/A28W44"
"331","doi:10.18739/A28W5H","doi:10.18739/A2ST7DX47"
"332","doi:10.18739/A28W78","doi:10.18739/A2PZ51M69"
"333","doi:10.18739/A2901B","doi:10.18739/A2901B"
"334","doi:10.18739/A29033","doi:10.18739/A29033"
"335","doi:10.18739/A2905V","doi:10.18739/A2PK07150"
"336","doi:10.18739/A2907M","doi:10.18739/A2907M"
"337","doi:10.18739/A29080","doi:10.18739/A2WM13T8P"
"338","doi:10.18739/A2931C","doi:10.18739/A2HB9P"
"339","doi:10.18739/A2934H","doi:10.18739/A2WP9T69H"
"340","doi:10.18739/A29368","doi:10.18739/A2HH6C610"
"341","doi:10.18739/A29593","doi:10.18739/A29593"
