pid,formatId,dateUploaded,datasource,scoreOverall,scoreFindable,scoreAccessible,scoreInteroperable,scoreReusable,obsoletes,obsoletedBy,sequenceId
urn:uuid:d20e4e36-3573-49e8-b6f7-92d2cfbffbfa,eml://ecoinformatics.org/eml-2.1.1,2016-10-04T19:59:57.327Z,urn:node:ARCTIC,0.5897436,0.85,0.29,0.67,0.4,urn:uuid:4640e31d-92c1-4d02-9f47-e57428304ed5,urn:uuid:776ab202-49c5-4947-9664-49c3dbf8b12d,arctic-data.9526.1
urn:uuid:928efae9-1e21-45ea-ad33-0a4f8922008c,eml://ecoinformatics.org/eml-2.1.1,2016-10-06T22:21:50.336Z,urn:node:ARCTIC,0.5897436,0.85,0.29,0.67,0.4,urn:uuid:8070cf5b-845e-413a-ba61-b46bfa710fde,urn:uuid:9c93713e-93bd-4817-8b95-e7290c251f67,arctic-data.9526.1
urn:uuid:9466f6db-2327-4b3f-8d1a-c138350f825d,eml://ecoinformatics.org/eml-2.1.1,2016-10-06T16:28:31.147Z,urn:node:ARCTIC,0.5897436,0.85,0.29,0.67,0.4,urn:uuid:776ab202-49c5-4947-9664-49c3dbf8b12d,urn:uuid:8070cf5b-845e-413a-ba61-b46bfa710fde,arctic-data.9526.1
urn:uuid:8070cf5b-845e-413a-ba61-b46bfa710fde,eml://ecoinformatics.org/eml-2.1.1,2016-10-06T22:13:02.426Z,urn:node:ARCTIC,0.5897436,0.85,0.29,0.67,0.4,urn:uuid:9466f6db-2327-4b3f-8d1a-c138350f825d,urn:uuid:928efae9-1e21-45ea-ad33-0a4f8922008c,arctic-data.9526.1
arctic-data.9545.1,eml://ecoinformatics.org/eml-2.1.1,2016-10-04T23:00:00.000Z,urn:node:ARCTIC,0.58536583,0.8,0.29,0.67,0.4,,doi:10.18739/A2ND4Q,arctic-data.9545.1
urn:uuid:e88a5779-3316-4363-908d-ae33fcb722e4,eml://ecoinformatics.org/eml-2.1.1,2016-10-14T17:40:43.911Z,urn:node:ARCTIC,0.33333334,0.45,0.43,0.12,0.3,,urn:uuid:95cc96d8-82a1-4570-be95-7efc727c90b1,urn:uuid:e88a5779-3316-4363-908d-ae33fcb722e4
arctic-data.9560.1,eml://ecoinformatics.org/eml-2.1.1,2016-10-13T23:00:00.000Z,urn:node:ARCTIC,0.53846157,0.77,0.29,0.67,0.3,,arctic-data.9560.2,arctic-data.9560.1
urn:uuid:d97d0d8b-9111-41ef-abcc-1cfa47fb8269,eml://ecoinformatics.org/eml-2.1.1,2016-10-13T17:20:21.944Z,urn:node:ARCTIC,0.3611111,0.64,0.43,0.12,0.2,,urn:uuid:0c28834f-bc7f-42db-ad87-1c9908948f7e,urn:uuid:d97d0d8b-9111-41ef-abcc-1cfa47fb8269
arctic-data.9560.3,eml://ecoinformatics.org/eml-2.1.1,2016-10-13T23:00:00.000Z,urn:node:ARCTIC,0.53846157,0.77,0.29,0.67,0.3,arctic-data.9560.2,doi:10.18739/A26M1M,arctic-data.9560.1
arctic-data.9560.5,eml://ecoinformatics.org/eml-2.1.1,2016-10-13T23:00:00.000Z,urn:node:ARCTIC,0.53846157,0.77,0.29,0.67,0.3,doi:10.18739/A26M1M,arctic-data.9560.6,arctic-data.9560.1
urn:uuid:a8968096-92db-41a4-a617-11af74a3e7ee,eml://ecoinformatics.org/eml-2.1.1,2016-10-14T22:05:18.021Z,urn:node:ARCTIC,0.30555555,0.55,0.29,0.12,0.2,,urn:uuid:b7326930-d58c-4ee3-af32-ac7119ab962c,urn:uuid:a8968096-92db-41a4-a617-11af74a3e7ee
urn:uuid:b83b56da-8708-4ad7-a499-afcd7d88f4fc,eml://ecoinformatics.org/eml-2.1.1,2016-10-14T21:52:19.627Z,urn:node:ARCTIC,0.30555555,0.55,0.29,0.12,0.2,,urn:uuid:da1a2732-905c-40c7-9ccc-0745c189039b,urn:uuid:b83b56da-8708-4ad7-a499-afcd7d88f4fc
urn:uuid:239cb7b0-686a-4944-b7f8-254655aee0ad,eml://ecoinformatics.org/eml-2.1.1,2016-10-20T17:15:59.632Z,urn:node:ARCTIC,0.30555555,0.55,0.29,0.12,0.2,,urn:uuid:9900cca1-20f1-4dcf-8001-49dc5c4a3d2b,urn:uuid:239cb7b0-686a-4944-b7f8-254655aee0ad
urn:uuid:f4a3bd7b-0fc2-4f8b-b35b-64871dfaa067,eml://ecoinformatics.org/eml-2.1.1,2016-10-20T16:22:00.443Z,urn:node:ARCTIC,0.30555555,0.55,0.29,0.12,0.2,,urn:uuid:9653f40c-3d13-4926-be7f-c759f92e7dcb,urn:uuid:f4a3bd7b-0fc2-4f8b-b35b-64871dfaa067
urn:uuid:532fe413-a544-4138-b68e-2f128b17eb67,eml://ecoinformatics.org/eml-2.1.1,2016-10-20T16:59:52.204Z,urn:node:ARCTIC,0.30555555,0.55,0.29,0.12,0.2,,urn:uuid:ab5ddb0d-7226-4b82-8fa0-958bc3c03d35,urn:uuid:532fe413-a544-4138-b68e-2f128b17eb67
urn:uuid:d50a7f99-bb99-4bf8-babb-130265b73bf5,eml://ecoinformatics.org/eml-2.1.1,2016-10-20T17:29:47.950Z,urn:node:ARCTIC,0.30555555,0.55,0.29,0.12,0.2,,urn:uuid:83048c2e-6cb7-4ba3-ab02-9c9c38de13b3,urn:uuid:d50a7f99-bb99-4bf8-babb-130265b73bf5
urn:uuid:a0fe9cd8-2f73-43b4-b955-31ab2ec28451,eml://ecoinformatics.org/eml-2.1.1,2016-10-21T18:25:58.006Z,urn:node:ARCTIC,0.30555555,0.55,0.29,0.12,0.2,,urn:uuid:d707dd45-6b81-41b7-94cd-8d62c817c0e3,urn:uuid:a0fe9cd8-2f73-43b4-b955-31ab2ec28451
arctic-data.9587.1,eml://ecoinformatics.org/eml-2.1.1,2016-10-21T23:00:00.000Z,urn:node:ARCTIC,0.625,0.93,0.29,0.67,0.4,,urn:uuid:36e1ca73-c504-414b-baf7-1d92ddecaeaf,arctic-data.9587.1
urn:uuid:40f36878-6467-416e-849d-59c752ffa932,eml://ecoinformatics.org/eml-2.1.1,2016-10-21T21:59:59.499Z,urn:node:ARCTIC,0.3888889,0.55,0.57,0.12,0.3,,urn:uuid:aa3a8b96-5fa4-472e-bf93-d4c18be6f019,urn:uuid:40f36878-6467-416e-849d-59c752ffa932
arctic-data.9587.10,eml://ecoinformatics.org/eml-2.1.1,2016-10-21T23:00:00.000Z,urn:node:ARCTIC,0.6,0.93,0.29,0.67,0.3,urn:uuid:ba35c778-790a-41d4-a2f7-e6dd2ae8dc69,urn:uuid:4ef44c7a-57a5-461d-a57b-d5b40595227f,arctic-data.9587.1
urn:uuid:8ec7c03e-5c99-4bcb-9493-bb9001204a4e,eml://ecoinformatics.org/eml-2.1.1,2016-10-28T15:30:40.510Z,urn:node:ARCTIC,0.3611111,0.55,0.43,0.12,0.3,,urn:uuid:4fa47c0a-0c8d-44fe-bb7f-7ae6a4a8f89f,urn:uuid:8ec7c03e-5c99-4bcb-9493-bb9001204a4e
urn:uuid:381a7a33-67a8-486a-9585-f4d401ecfbaf,eml://ecoinformatics.org/eml-2.1.1,2016-10-27T21:31:37.204Z,urn:node:ARCTIC,0.3888889,0.64,0.43,0.12,0.3,,urn:uuid:ce643915-ab5b-4f66-821c-5020c786e863,urn:uuid:381a7a33-67a8-486a-9585-f4d401ecfbaf
urn:uuid:f573f346-21d7-4d11-b315-a7be71edafbd,eml://ecoinformatics.org/eml-2.1.1,2016-10-28T17:20:22.577Z,urn:node:ARCTIC,0.575,0.79,0.29,0.67,0.4,urn:uuid:01b40771-c3a0-491b-955e-ddccc23897fb,doi:10.18739/A23M22,urn:uuid:23acf3bd-27c7-4736-a6ef-c141698d66b8
urn:uuid:308c80eb-6448-4ef7-890b-cdceceba632a,eml://ecoinformatics.org/eml-2.1.1,2016-10-28T17:00:43.138Z,urn:node:ARCTIC,0.3611111,0.64,0.43,0.12,0.2,,urn:uuid:d9c47a2e-789d-4d3e-bf99-48024518af33,urn:uuid:308c80eb-6448-4ef7-890b-cdceceba632a
urn:uuid:b2e57bb7-3d9f-4cc3-a32c-16628ba35c07,eml://ecoinformatics.org/eml-2.1.1,2016-10-28T18:35:52.373Z,urn:node:ARCTIC,0.3888889,0.64,0.43,0.12,0.3,,urn:uuid:5a51c0d5-5b26-42bf-9f93-d9fecb91fdd4,urn:uuid:b2e57bb7-3d9f-4cc3-a32c-16628ba35c07
urn:uuid:15b0247a-b681-464f-bed2-9229cc686af8,eml://ecoinformatics.org/eml-2.1.1,2016-10-28T19:02:50.964Z,urn:node:ARCTIC,0.41666666,0.73,0.43,0.12,0.3,,,urn:uuid:15b0247a-b681-464f-bed2-9229cc686af8
urn:uuid:b11ca32d-9bb6-4692-9596-9e9a16e47b6d,eml://ecoinformatics.org/eml-2.1.1,2016-11-04T17:50:35.460Z,urn:node:ARCTIC,0.4473684,0.77,0.43,0.12,0.3,,urn:uuid:71745ea9-6611-4a21-9cd7-c89f7baec482,urn:uuid:b11ca32d-9bb6-4692-9596-9e9a16e47b6d
urn:uuid:711cf170-b7e1-44bd-9075-eb3d737f3174,eml://ecoinformatics.org/eml-2.1.1,2016-11-04T01:16:31.817Z,urn:node:ARCTIC,0.3611111,0.64,0.43,0.12,0.2,,urn:uuid:ba1de2d9-bc1f-4cfe-9b00-9efffb461321,urn:uuid:711cf170-b7e1-44bd-9075-eb3d737f3174
urn:uuid:dfab622d-7c2b-43c6-96b2-aa02903cbb4e,eml://ecoinformatics.org/eml-2.1.1,2016-11-10T18:39:32.377Z,urn:node:ARCTIC,0.5641026,0.85,0.29,0.67,0.3,autogen.2016032220425565278.3,urn:uuid:7b9bea71-7d3d-47ce-af82-b3274258a7ac,urn:uuid:304fd9c9-277d-44f0-9865-05e5db0339a9
urn:uuid:3b376d9d-b2a5-4cb4-87cc-9b19cac851f9,eml://ecoinformatics.org/eml-2.1.1,2016-11-08T18:20:44.305Z,urn:node:ARCTIC,0.625,0.93,0.29,0.67,0.4,arctic-data.9644.1,doi:10.18739/A2GM2G,arctic-data.9623.1
arctic-data.9789.1,eml://ecoinformatics.org/eml-2.1.1,2016-11-14T00:00:00.000Z,urn:node:ARCTIC,0.575,0.86,0.29,0.67,0.3,,urn:uuid:9b7fffbd-d4cc-4548-b5fb-d192ba5db181,arctic-data.9789.1
urn:uuid:dd0b3567-2645-4624-b3ae-9eeb9ba8fc22,eml://ecoinformatics.org/eml-2.1.1,2016-11-17T00:21:19.220Z,urn:node:ARCTIC,0.39473686,0.69,0.29,0.12,0.3,,doi:10.18739/A2VQ1J,urn:uuid:dd0b3567-2645-4624-b3ae-9eeb9ba8fc22
urn:uuid:337f9d44-ec27-4527-bb7d-b0317c514ebc,eml://ecoinformatics.org/eml-2.1.1,2016-11-17T01:44:09.833Z,urn:node:ARCTIC,0.39473686,0.69,0.29,0.12,0.3,,doi:10.18739/A2BT0J,urn:uuid:337f9d44-ec27-4527-bb7d-b0317c514ebc
urn:uuid:b50b2bc8-1b63-4b4e-8f6b-93b7fe7be08f,eml://ecoinformatics.org/eml-2.1.1,2016-11-17T20:18:38.820Z,urn:node:ARCTIC,0.39473686,0.69,0.29,0.12,0.3,,doi:10.18739/A2294D,urn:uuid:b50b2bc8-1b63-4b4e-8f6b-93b7fe7be08f
urn:uuid:4db2a2ee-cbc8-419c-bd78-7ed8439afb8d,eml://ecoinformatics.org/eml-2.1.1,2016-11-17T20:33:01.676Z,urn:node:ARCTIC,0.42105263,0.77,0.43,0.12,0.2,,urn:uuid:f45eed92-1287-49f4-9654-95841ba21239,urn:uuid:4db2a2ee-cbc8-419c-bd78-7ed8439afb8d
arctic-data.9799.1,eml://ecoinformatics.org/eml-2.1.1,2016-11-19T00:00:00.000Z,urn:node:ARCTIC,0.575,0.79,0.29,0.67,0.4,,doi:10.18739/A2ZD34,arctic-data.9799.1
urn:uuid:58ccc72d-e1ae-4148-b0bc-958e84af20e7,eml://ecoinformatics.org/eml-2.1.1,2016-11-19T00:15:40.241Z,urn:node:ARCTIC,0.4473684,0.77,0.43,0.12,0.3,,urn:uuid:dcbfeb47-5b36-482b-be16-ce805c586f23,urn:uuid:58ccc72d-e1ae-4148-b0bc-958e84af20e7
